
1;Medvedeva Ekaterina Georgievna;cleaner;44;150
2;Belyaeva Kira Davidovna;cleaner;40;150
3;D'yakonov Makar YUr'evich;cleaner;44;150
4;Nikolaev Kirill Fyodorovich;cleaner;44;150
5;Gordeev Svyatoslav Il'ich;cleaner;38;150
6;Smirnov Daniil Mihajlovich;cleaner;46;150
7;Petrova Vasilisa Daniilovna;driver;30;200
8;Davydova Veronika Georgievna;driver;46;200
9;Kozlov Vladimir Andreevich;driver;32;200
10;SHirokova Mariya Nikolaevna;tester;42;350
11;Ostrovskaya Anastasiya Vladislavovna;tester;44;350
12;Emel'yanov Nikita Arturovich;tester;40;350
13;Haritonov Mihail Stepanovich;tester;38;350
14;Platonova Valeriya Daniilovna;programmer;40;400
15;Komarov Maksim Il'ich;programmer;40;400
16;Zuev Pavel Artyomovich;programmer;44;400
17;Tarasova Elizaveta Egorovna;programmer;46;400
18;Petrov Artyom Romanovich;programmer;40;400
19;Latysheva Kseniya Aleksandrovna;programmer;44;400
20;Vinogradova Agata Il'inichna;teamleader;46;450
21;Sorokina Arina Mihajlovna;teamleader;48;450
22;Terent'eva Alisa Markovna;project manager;46;450
23;Belyakova Marina Arturovna;project manager;46;450
24;Gerasimova Anna Stepanovna;senior manager;38;450
25;Tarasov Bogdan Maksimovich;senior manager;36;450
